email_id,subject,body,sender,label
44,"Pharmacy prescription ready","Your prescription is ready for pickup at CVS Pharmacy.","pharmacy@cvs.com",legitimate
45,"Help me transfer funds","I am Prince of Nigeria seeking help to transfer $10 million. You will receive 30% commission.","prince@nigeria-royal.com",phishing
46,"School newsletter","This month: parent-teacher conferences, science fair, and holiday concert schedule.","principal@school.edu",legitimate
47,"Your Uber receipt","Thanks for riding with Uber. Trip total: $23.50","receipts@uber.com",legitimate
48,"Suspicious login attempt blocked","We blocked a sign-in attempt from China. If this was you, verify here: http://account-verify-secure.xyz","security@amazon-protect.xyz",phishing
49,"Workout class confirmed","You're signed up for yoga class on Tuesday at 6 PM.","classes@yogastudio.com",legitimate
50,"Claim your reward points!","You have 50,000 unclaimed points expiring soon! Redeem for cash: http://rewards-claim-now.biz","rewards@points-center.biz",phishing
51,"Team standup notes","Today's blockers: API timeout issues. Sarah will investigate.","standup@company.com",legitimate
52,"Your order is ready for pickup","Your Starbucks mobile order (Grande Latte) is ready at Main St location.","orders@starbucks.com",legitimate
53,"Verify your identity to avoid account closure","Your Chase account requires immediate verification. Click: http://chase-secure-verify.tk","security@chase-bank-alert.tk",phishing
54,"Happy anniversary!","Congratulations on your 5th work anniversary! Thank you for your dedication.","hr@company.com",legitimate
55,"Car insurance quote","Based on your request, here's your free car insurance quote.","quotes@insurance.com",legitimate
56,"Your package could not be delivered","Package undeliverable. Confirm address and pay $1.99 fee: http://usps-redelivery.xyz","delivery@usps-tracking.xyz",phishing
57,"Software update available","A new update is available for your iPhone. Go to Settings > General > Software Update.","noreply@apple.com",legitimate
58,"Training session tomorrow","Reminder: mandatory security awareness training tomorrow at 10 AM.","training@company.com",legitimate
59,"You've received a fax!","Important fax document waiting. Download here: http://efax-document.com/view","fax@efax-delivery.net",phishing
60,"Parking permit renewal","Your parking permit expires next month. Renew online at parking.company.com","parking@company.com",legitimate
61,"Credit score alert","Good news! Your credit score increased by 15 points this month.","alerts@creditkarma.com",legitimate
62,"Urgent: Confirm wire transfer","Please confirm the wire transfer of $75,000 to the vendor account immediately.","cfo@company-finance.biz",phishing
63,"Recipe club newsletter","This week's featured recipe: homemade pasta from scratch!","newsletter@recipes.com",legitimate
64,"Your Google account: Security alert","Someone has your password. Change it now: http://google-password-reset.tk","security@google-account-alert.tk",phishing
65,"Dinner reservation confirmed","Your reservation at The Italian Place for 7 PM, party of 4, is confirmed.","reservations@restaurant.com",legitimate
66,"Pet grooming appointment","Reminder: Max's grooming appointment is Thursday at 11 AM.","appointments@petgroomer.com",legitimate
67,"Your account will be terminated","Due to inactivity, your account will be terminated in 24 hours. Verify: http://account-save.xyz","admin@service-termination.com",phishing
68,"Concert tickets confirmed","Your tickets for Taylor Swift concert on March 15 are confirmed. E-tickets attached.","tickets@ticketmaster.com",legitimate
69,"Weather alert","Severe thunderstorm warning for your area until 8 PM tonight.","alerts@weather.gov",legitimate
70,"You've been selected for a survey","Complete this 5-minute survey about your recent hotel stay for a chance to win $500!","surveys@hotel-feedback.biz",phishing
71,"Volunteer opportunity","Looking for volunteers for the community food drive this Saturday.","volunteer@community.org",legitimate
72,"Your loan is pre-approved!","Congratulations! You're pre-approved for $50,000 personal loan. Bad credit OK! Apply: http://easy-loans-approve.com","loans@fast-approval-loans.net",phishing
73,"Library book due","Reminder: 'Python Programming' is due back in 3 days.","library@publiclibrary.org",legitimate
74,"New comment on your post","Sarah commented on your photo: 'Great shot!'","notifications@instagram.com",legitimate
75,"Western Union: Claim your money","You have $3,500 waiting. Bring ID and this code: WU7834921 to claim.","claims@western-union-transfer.tk",phishing
76,"Office closure notice","The office will be closed Monday for the holiday. See you Tuesday!","admin@company.com",legitimate
77,"Your prescription shipped","Your prescription order has shipped. Tracking: 1Z999AA10123456784","pharmacy@express-scripts.com",legitimate
78,"Immediate action required - IRS","You owe $8,423 in back taxes. Pay immediately or face arrest: http://irs-payment-portal.com","collection@irs-tax-dept.xyz",phishing
79,"Movie night?","Want to catch a movie this weekend? The new Marvel film looks good.","friend@gmail.com",legitimate
80,"Your domain is expiring","Your domain company.com expires in 30 days. Renew at your registrar.","billing@godaddy.com",legitimate
81,"Claim your cashback reward","You have $847.00 in unclaimed cashback! Enter bank details to receive: http://cashback-claim.biz","rewards@cashback-center.xyz",phishing
82,"Apartment maintenance notice","Water will be shut off Tuesday 9 AM - 12 PM for maintenance.","management@apartments.com",legitimate
83,"Your electricity bill","Your bill of $142.50 is due March 15. Pay online at utility.com","billing@utility.com",legitimate
84,"Re: vacation photos","Great photos from your trip! The beach looks amazing.","friend@gmail.com",legitimate
85,"Your Social Security benefits","Review your Social Security statement. Log in at ssa.gov","statements@ssa.gov",legitimate
86,"URGENT: Verify PayPal account","Unusual activity detected. Verify or lose account access: http://paypal-verify-now.tk","service@paypal-security-team.tk",phishing
87,"Book your annual checkup","It's time for your annual physical. Schedule at patientportal.com","appointments@doctor.com",legitimate
88,"Freelance opportunity","Looking for freelance writers for our tech blog. $100 per article.","editor@techblog.com",legitimate
89,"You've inherited millions!","A distant relative in UK left you £2.3 million. Contact our attorney with your bank details.","solicitor@uk-inheritance.com",phishing
90,"Plant watering reminder","Time to water your plants! Next watering in 3 days.","app@plantcare.com",legitimate
91,"Your Spotify Wrapped","Your 2024 music year in review is ready! See your top artists.","noreply@spotify.com",legitimate
92,"Delivery exception notice","Your FedEx package has an exception. Pay customs fee $4.99: http://fedex-customs-pay.xyz","tracking@fedex-delivery-alert.xyz",phishing
93,"HOA meeting minutes","Attached are the minutes from last night's HOA meeting.","hoa@neighborhood.org",legitimate
94,"Meditation reminder","Time for your daily meditation. Open the app to begin.","reminders@calmapp.com",legitimate
95,"Your Netflix password was changed","If you didn't change your password, secure your account: http://netflix-security.tk","security@netf1ix-support.tk",phishing
96,"Soccer practice moved","Practice moved to Field B this week due to maintenance.","coach@soccerclub.com",legitimate
97,"New device signed in","A new iPhone signed into your Google account from San Francisco.","no-reply@accounts.google.com",legitimate
98,"Claim your prize NOW","You are today's lucky visitor! Spin the wheel to claim iPhone or $1000: http://prize-spin-winner.com","winner@daily-prize.biz",phishing
99,"Status update on your ticket","Your IT support ticket #4521 has been resolved. Please confirm.","support@company.com",legitimate
100,"Charity donation receipt","Thank you for your $50 donation to Red Cross. Tax receipt attached.","donations@redcross.org",legitimate
